Marca,Modelo,Corrente,Disjuntor,Condutor (mm²),Pot Máx (kW),Voc,MPPT
LIVOLTEK,GT3-25K,40,50,16,"27,5",620,2
LIVOLTEK,GT3-30K,48,50,16,33,620,2
Hoymiles,MI-1000,"4,54",10,4,1,60,4
Hoymiles,MI-1200,"5,45",10,4,"1,2",60,4
Hoymiles,MI-1500,"6,2",10,4,1.5,60,4
Hoymiles,HMS-1800,"8,18",10,4,1.8,60,4
Hoymiles,HMS-2000,"9,09",10,4,2,60,4
GROWATT,MAC 30KTL3-X LV,"48,3",50,16,45,1100,3
GROWATT,MAC 40KTL3-X LV,"64,4",80,25,60,1100,3
GROWATT,MAC 50KTL3-X LV,"80,5",100,35,75,1100,3
GROWATT,MAC 60KTL3-X LV,"96,6",100,35,90,1100,3
CANADIAN,CSI-9K-S2202-E,"40,9",50,16,"13,5",600,2
